date,equity
2025-05-09,80000.0
2025-05-12,80000.0
2025-05-13,80000.0
2025-05-14,80000.0
2025-05-15,80000.0
2025-05-16,80000.0
2025-05-19,80000.0
2025-05-20,80000.0
2025-05-21,80000.0
2025-05-22,80000.0
2025-05-23,80000.0
2025-05-26,80000.0
2025-05-27,80000.0
2025-05-28,80000.0
2025-05-29,80000.0
2025-05-30,80000.0
2025-06-02,80000.0
2025-06-03,80000.0
2025-06-04,80000.0
2025-06-05,80000.0
2025-06-06,80000.0
2025-06-09,80000.0
2025-06-10,80000.0
2025-06-11,80000.0
2025-06-12,80000.0
2025-06-13,80000.0
2025-06-16,80000.0
2025-06-17,80000.0
2025-06-18,79848.7890625
2025-06-19,79602.0703125
2025-06-20,78853.96875
2025-06-23,77294.08984375
2025-06-24,77309.23504638672
2025-06-25,76620.34289550781
2025-06-26,76824.73803710938
2025-06-27,77248.66387939453
2025-06-30,78470.96026611328
2025-07-01,77536.26544189453
2025-07-02,77597.89141845703
2025-07-03,76550.20880126953
2025-07-04,77423.54498291016
2025-07-07,77496.3257446289
2025-07-08,78020.32598876953
2025-07-09,77569.10284423828
2025-07-10,77635.82037353516
2025-07-11,76851.87384033203
2025-07-14,76918.5913696289
2025-07-15,78603.23907470703
2025-07-16,78768.19805908203
2025-07-17,79121.68243408203
2025-07-18,79074.54962158203
2025-07-22,78508.97930908203
2025-07-23,79192.97930908203
2025-07-24,80788.97930908203
2025-07-25,80788.97930908203
2025-07-28,81472.97930908203
2025-07-29,81395.96746826172
2025-07-30,80856.90350341797
2025-07-31,81709.92950439453
2025-08-01,82669.58233642578
2025-08-04,82644.64581298828
2025-08-05,84190.67608642578
2025-08-06,86709.21612548828
2025-08-07,87532.10186767578
2025-08-08,88390.43194580078
2025-08-12,89307.28741455078
2025-08-13,89424.33331298828
2025-08-14,88078.31280517578
2025-08-15,89520.22076416016
2025-08-18,89586.51495361328
2025-08-19,90730.09698486328
2025-08-20,90895.8345336914
2025-08-21,90763.36688232422
2025-08-22,91879.83233642578
2025-08-25,92750.28643798828
2025-08-26,93791.0560913086
2025-08-27,93677.8754272461
2025-08-28,94164.54779052734
2025-08-29,93315.69842529297
2025-09-01,93587.32977294922
2025-09-02,95843.63055419922
2025-09-03,94987.79852294922
2025-09-04,95594.66180419922
2025-09-05,96901.75555419922
2025-09-08,97409.45574951172
2025-09-09,97567.01727294922
2025-09-10,97777.10662841797
2025-09-11,97864.63690185547
2025-09-12,98136.75506591797
2025-09-16,98898.68865966797
2025-09-17,96980.25799560547
2025-09-18,97225.16229248047
2025-09-19,98072.14910888672
2025-09-22,98537.15887451172
2025-09-24,98487.34173583984
2025-09-25,98952.34735107422
2025-09-26,98706.45867919922
2025-09-29,98394.89373779297
2025-09-30,99121.87518310547
2025-10-01,99599.6098022461
2025-10-02,103634.7035522461
2025-10-03,104913.6371459961
2025-10-06,109037.9574584961
2025-10-07,108086.1918334961
2025-10-08,108198.1918334961
2025-10-09,111526.1918334961
2025-10-10,112566.1918334961
2025-10-14,108246.1918334961
2025-10-15,110243.30487060547
2025-10-16,113323.20965576172
2025-10-17,111614.82220458984
2025-10-20,115224.08319091797
2025-10-21,115985.45037841797
2025-10-22,116255.10662841797
2025-10-23,115620.63006591797
2025-10-24,115699.93475341797
2025-10-27,116651.42987060547
2025-10-28,115520.40057373047
2025-10-29,116094.88885498047
2025-10-30,117710.64373779297
2025-10-31,115935.26873779297
2025-11-04,115275.39373779297
2025-11-05,105738.67498779297
2025-11-06,106571.37030029297
2025-11-07,105989.57537841797
2025-11-10,105497.28240966797
2025-11-11,105929.90350341797
2025-11-12,105661.38006591797
2025-11-13,105509.24334716797
2025-11-14,104393.55194091797
2025-11-17,105002.11541748047
2025-11-18,101401.4730834961
2025-11-19,101735.2455444336
2025-11-20,103160.19915771484
2025-11-21,104597.99407958984
2025-11-25,103506.8129272461
2025-11-26,103399.2465209961
2025-11-27,103160.2074584961
2025-11-28,101988.9242553711
2025-12-01,99670.2582397461
2025-12-02,100260.3158569336
2025-12-03,98871.9418334961
2025-12-04,98871.9418334961
2025-12-05,97813.30462646484
2025-12-08,99465.58197021484
2025-12-09,99748.20892333984
2025-12-10,100552.6107788086
2025-12-11,100987.4223022461
2025-12-12,100466.3558959961
2025-12-15,100021.91912841797
2025-12-16,99868.6674194336
2025-12-17,99684.76385498047
2025-12-18,99009.77215576172
2025-12-19,97966.59490966797
2025-12-22,99209.20599365234
2025-12-23,98549.54779052734
2025-12-24,97830.64373779297
2025-12-25,98463.28411865234
2025-12-26,98089.44891357422
2025-12-29,97509.44891357422
2025-12-30,97351.79754638672
2026-01-05,98199.18035888672
2026-01-06,98790.37664794922
2026-01-07,96937.95965576172
2026-01-08,96062.95965576172
2026-01-09,95912.95965576172
2026-01-13,98812.95965576172
2026-01-14,99887.95965576172
2026-01-15,105035.95965576172
2026-01-16,104099.95965576172
2026-01-19,105152.95965576172
2026-01-20,105737.95965576172
2026-01-21,105770.6615600586
2026-01-22,106620.96746826172
2026-01-23,108092.6498413086
2026-01-26,106522.85369873047
2026-01-27,108247.85369873047
2026-01-28,106447.85369873047
2026-01-29,106207.85369873047
2026-01-30,104122.85369873047
2026-02-02,103265.30975341797
2026-02-03,106515.99822998047
2026-02-04,108570.10955810547
2026-02-05,106855.02655029297
2026-02-06,107887.82928466797
2026-02-09,107076.34246826172
2026-02-10,107504.21600341797
2026-02-12,109805.89569091797
2026-02-13,108039.18865966797
2026-02-16,107526.84783935547
2026-02-17,107385.51531982422
2026-02-18,107791.85565185547
2026-02-19,106951.85565185547
2026-02-20,107239.85565185547
2026-02-24,110119.85565185547
2026-02-25,110695.85565185547
2026-02-26,110856.62957763672
2026-02-27,112651.99114990234
2026-03-02,114045.4047241211
2026-03-03,112705.5824584961
2026-03-04,108055.1928100586
2026-03-05,109480.6029663086
2026-03-06,108750.0824584961
2026-03-09,103689.88958740234
2026-03-10,107977.56536865234
2026-03-11,112543.79193115234
2026-03-12,110912.28411865234
2026-03-13,114414.05364990234
2026-03-16,114931.28109741211
2026-03-17,115758.86267089844
2026-03-18,116120.92108154297
2026-03-19,116431.26718139648
2026-03-23,111588.11337280273
2026-03-24,115104.54989624023
2026-03-25,116469.91171264648
2026-03-26,118234.57284545898
2026-03-27,118008.1174621582
2026-03-30,117507.61041259766
2026-03-31,116814.61511230469
2026-04-01,117546.11276245117
2026-04-02,117546.11276245117
