date,equity
2025-05-09,100000.0
2025-05-12,100000.0
2025-05-13,100000.0
2025-05-14,100000.0
2025-05-15,100000.0
2025-05-16,100000.0
2025-05-19,100000.0
2025-05-20,100000.0
2025-05-21,100000.0
2025-05-22,100000.0
2025-05-23,100000.0
2025-05-26,100000.0
2025-05-27,100000.0
2025-05-28,100000.0
2025-05-29,100000.0
2025-05-30,100000.0
2025-06-02,100000.0
2025-06-03,100000.0
2025-06-04,100000.0
2025-06-05,100000.0
2025-06-06,100000.0
2025-06-09,100000.0
2025-06-10,100000.0
2025-06-11,100000.0
2025-06-12,100000.0
2025-06-13,100000.0
2025-06-16,100000.0
2025-06-17,100000.0
2025-06-18,100371.52026367188
2025-06-19,100212.29541015625
2025-06-20,99893.85229492188
2025-06-23,99893.85229492188
2025-06-24,99913.40686035156
2025-06-25,99023.951171875
2025-06-26,99287.85375976562
2025-06-27,99835.20104980469
2025-06-30,100186.48669433594
2025-07-01,100713.42321777344
2025-07-02,101511.79602050781
2025-07-03,100793.25646972656
2025-07-04,101957.70471191406
2025-07-07,102054.74572753906
2025-07-08,102753.41271972656
2025-07-09,102151.78186035156
2025-07-10,102238.12219238281
2025-07-11,101223.60314941406
2025-07-14,101309.94348144531
2025-07-15,103490.07580566406
2025-07-16,103134.86950683594
2025-07-17,103820.78869628906
2025-07-18,102938.89172363281
2025-07-22,102510.19299316406
2025-07-23,102807.66003417969
2025-07-24,102460.62023925781
2025-07-25,101654.98669433594
2025-07-28,100824.56066894531
2025-07-29,100730.15905761719
2025-07-30,100069.37097167969
2025-07-31,101115.01574707031
2025-08-01,102291.36437988281
2025-08-04,102261.44055175781
2025-08-05,104116.67687988281
2025-08-06,107138.92492675781
2025-08-07,108126.38781738281
2025-08-08,100907.97375488281
2025-08-12,101552.61437988281
2025-08-13,104831.54406738281
2025-08-14,101321.81750488281
2025-08-15,102975.77075195312
2025-08-18,103051.81408691406
2025-08-19,104363.56994628906
2025-08-20,104553.6806640625
2025-08-21,103684.7373046875
2025-08-22,104502.56298828125
2025-08-25,102087.42578125
2025-08-26,101844.640625
2025-08-27,101721.6181640625
2025-08-28,102250.60986328125
2025-08-29,101327.94750976562
2025-09-01,101623.19897460938
2025-09-02,101801.08227539062
2025-09-03,103105.55493164062
2025-09-04,103579.90795898438
2025-09-05,104647.20776367188
2025-09-08,105211.31909179688
2025-09-09,105386.38745117188
2025-09-10,105619.82006835938
2025-09-11,105717.07592773438
2025-09-12,105502.41479492188
2025-09-16,104944.29370117188
2025-09-17,103828.05151367188
2025-09-18,103999.78149414062
2025-09-19,104896.59106445312
2025-09-22,105388.95434570312
2025-09-24,105336.20678710938
2025-09-25,105828.56567382812
2025-09-26,105570.96801757812
2025-09-29,105244.56665039062
2025-09-30,106006.16625976562
2025-10-01,106506.65014648438
2025-10-02,110541.74389648438
2025-10-03,111820.67749023438
2025-10-06,115944.99780273438
2025-10-07,114993.23217773438
2025-10-08,115112.23217773438
2025-10-09,118648.23217773438
2025-10-10,119753.23217773438
2025-10-14,115163.23217773438
2025-10-15,117229.21118164062
2025-10-16,120415.31958007812
2025-10-17,118648.02221679688
2025-10-20,122381.74047851562
2025-10-21,122381.74047851562
2025-10-22,123676.09106445312
2025-10-23,125219.36254882812
2025-10-24,128604.58715820312
2025-10-27,135723.53735351562
2025-10-28,136007.39184570312
2025-10-29,138510.48217773438
2025-10-30,141039.37573242188
2025-10-31,134562.30981445312
2025-11-04,136171.44653320312
2025-11-05,133649.01977539062
2025-11-06,133692.50415039062
2025-11-07,133996.93774414062
2025-11-10,136492.75024414062
2025-11-11,138336.78149414062
2025-11-12,137589.63305664062
2025-11-13,141039.25024414062
2025-11-14,142996.57885742188
2025-11-17,142890.77392578125
2025-11-18,141065.69653320312
2025-11-19,141092.1494140625
2025-11-20,141477.4140625
2025-11-21,141836.99609375
2025-11-25,142710.26220703125
2025-11-26,143814.69091796875
2025-11-27,143779.5635986328
2025-11-28,144201.134765625
2025-12-01,142128.3975830078
2025-12-02,143393.11975097656
2025-12-03,143708.63537597656
2025-12-04,141831.31506347656
2025-12-05,140774.33068847656
2025-12-08,141452.69006347656
2025-12-09,141216.17639160156
2025-12-10,142043.96936035156
2025-12-11,142043.96936035156
2025-12-12,144842.68029785156
2025-12-15,144197.5301513672
2025-12-16,143975.06799316406
2025-12-17,143708.1112060547
2025-12-18,142996.21911621094
2025-12-19,144377.71911621094
2025-12-22,143901.34020996094
2025-12-23,144901.74645996094
2025-12-24,145711.58239746094
2025-12-25,145130.54858398438
2025-12-26,145014.3341064453
2025-12-29,146563.77368164062
2025-12-30,145595.37756347656
2026-01-05,146574.20446777344
2026-01-06,146040.3018798828
2026-01-07,145217.1951904297
2026-01-08,145150.46423339844
2026-01-09,148492.72009277344
2026-01-13,150328.60205078125
2026-01-14,151364.23193359375
2026-01-15,151317.1610107422
2026-01-16,150841.5262451172
2026-01-19,150603.7039794922
2026-01-20,150227.1512451172
2026-01-21,148938.9481201172
2026-01-22,149295.59704589844
2026-01-23,149314.3651123047
2026-01-26,148995.2615966797
2026-01-27,147906.55603027344
2026-01-28,145991.35681152344
2026-01-29,146419.46228027344
2026-01-30,146306.79821777344
2026-02-02,144481.7235107422
2026-02-03,152490.0242919922
2026-02-04,159767.1395263672
2026-02-05,153395.3143310547
2026-02-06,154265.7821044922
2026-02-09,158360.7821044922
2026-02-10,155416.2821044922
2026-02-12,172595.7821044922
2026-02-13,175637.7821044922
2026-02-16,174585.7821044922
2026-02-17,176952.7821044922
2026-02-18,173533.7821044922
2026-02-19,174585.7821044922
2026-02-20,172838.1759033203
2026-02-24,175890.94689941406
2026-02-25,175581.2423095703
2026-02-26,176289.13537597656
2026-02-27,181039.13537597656
2026-03-02,178721.13537597656
2026-03-03,172223.13537597656
2026-03-04,169867.13537597656
2026-03-05,173811.81896972656
2026-03-06,173741.37756347656
2026-03-09,172356.04553222656
2026-03-10,173999.65881347656
2026-03-11,175329.22595214844
2026-03-12,173635.1036376953
2026-03-13,173399.21252441406
2026-03-16,172262.65197753906
2026-03-17,164443.36291503906
2026-03-18,169536.83947753906
2026-03-19,172242.75354003906
2026-03-23,165398.38635253906
2026-03-24,165894.13342285156
2026-03-25,168054.16857910156
2026-03-26,173896.89123535156
2026-03-27,176729.72033691406
2026-03-30,177609.72033691406
2026-03-31,168949.72033691406
2026-04-01,183769.72033691406
2026-04-02,187489.72033691406
