date,equity
2025-05-09,30000.0
2025-05-12,30000.0
2025-05-13,30000.0
2025-05-14,30000.0
2025-05-15,30000.0
2025-05-16,30000.0
2025-05-19,30000.0
2025-05-20,30000.0
2025-05-21,30000.0
2025-05-22,30000.0
2025-05-23,30000.0
2025-05-26,30000.0
2025-05-27,30000.0
2025-05-28,30000.0
2025-05-29,30000.0
2025-05-30,30000.0
2025-06-02,30000.0
2025-06-03,30000.0
2025-06-04,30000.0
2025-06-05,30000.0
2025-06-06,30000.0
2025-06-09,30000.0
2025-06-10,30000.0
2025-06-11,30000.0
2025-06-12,30000.0
2025-06-13,30000.0
2025-06-16,30000.0
2025-06-17,30000.0
2025-06-18,29943.2958984375
2025-06-19,29850.7763671875
2025-06-20,29570.23828125
2025-06-23,28985.28369140625
2025-06-24,28990.843322753906
2025-06-25,28737.958862304688
2025-06-26,28812.989990234375
2025-06-27,28968.608337402344
2025-06-30,29434.245056152344
2025-07-01,29078.170837402344
2025-07-02,29101.647399902344
2025-07-03,28702.530212402344
2025-07-04,29022.753479003906
2025-07-07,29049.43975830078
2025-07-08,29241.573181152344
2025-07-09,29076.12469482422
2025-07-10,29099.67205810547
2025-07-11,28822.98504638672
2025-07-14,28846.53240966797
2025-07-15,29441.11395263672
2025-07-16,29502.973571777344
2025-07-17,29635.530212402344
2025-07-18,29617.855407714844
2025-07-22,29405.766540527344
2025-07-23,29657.766540527344
2025-07-24,30245.766540527344
2025-07-25,30245.766540527344
2025-07-28,30497.766540527344
2025-07-29,30470.43975830078
2025-07-30,30279.15899658203
2025-07-31,30581.845642089844
2025-08-01,30922.367614746094
2025-08-04,30913.63983154297
2025-08-05,31454.750427246094
2025-08-06,32336.23944091797
2025-08-07,32624.249450683594
2025-08-08,32924.664978027344
2025-08-12,33245.564392089844
2025-08-13,33286.53045654297
2025-08-14,32815.423278808594
2025-08-15,33324.331970214844
2025-08-18,33347.729919433594
2025-08-19,33751.347106933594
2025-08-20,33809.842712402344
2025-08-21,33762.29022216797
2025-08-22,34163.072692871094
2025-08-25,34475.543395996094
2025-08-26,34849.15301513672
2025-08-27,34809.78582763672
2025-08-28,34979.06317138672
2025-08-29,34683.81121826172
2025-09-01,34778.29168701172
2025-09-02,35624.40447998047
2025-09-03,35303.46746826172
2025-09-04,35531.04119873047
2025-09-05,36021.20135498047
2025-09-08,35881.91229248047
2025-09-09,35798.93182373047
2025-09-10,35452.19305419922
2025-09-11,35443.30291748047
2025-09-12,35540.48797607422
2025-09-16,35812.60711669922
2025-09-17,35127.45330810547
2025-09-18,35214.91912841797
2025-09-19,35513.85565185547
2025-09-22,35677.97674560547
2025-09-24,35660.39422607422
2025-09-25,35824.51385498047
2025-09-26,35742.55096435547
2025-09-29,35638.69598388672
2025-09-30,35881.02313232422
2025-10-01,36040.268005371094
2025-10-02,36040.268005371094
2025-10-03,36798.731872558594
2025-10-06,37385.354919433594
2025-10-07,37995.682067871094
2025-10-08,37971.980895996094
2025-10-09,38414.114685058594
