ticker,entry_date,exit_date,entry_price,exit_price,shares,cost,proceeds,pnl,return,reason,score,hold_days
9424.T,2026-05-27,2026-06-01,115.11499999999998,111.54988844999998,100,11517.255749999998,11149.4113505775,-367.8443994224999,-0.0319385457271364,SL,0.065040650406504,10
9424.T,2026-09-10,2026-09-24,117.117,119.88,100,11717.55585,11982.006,264.45014999999876,0.022568712569865732,TIME,0.025,10
