date,equity
2025-05-09,100000.0
2025-05-12,100000.0
2025-05-13,100000.0
2025-05-14,100000.0
2025-05-15,100000.0
2025-05-16,100000.0
2025-05-19,100000.0
2025-05-20,100000.0
2025-05-21,100000.0
2025-05-22,100000.0
2025-05-23,100000.0
2025-05-26,100000.0
2025-05-27,100000.0
2025-05-28,100000.0
2025-05-29,100000.0
2025-05-30,100000.0
2025-06-02,100000.0
2025-06-03,100000.0
2025-06-04,100000.0
2025-06-05,100000.0
2025-06-06,100000.0
2025-06-09,100000.0
2025-06-10,100000.0
2025-06-11,100000.0
2025-06-12,100000.0
2025-06-13,100000.0
2025-06-16,100000.0
2025-06-17,100000.0
2025-06-18,99810.986328125
2025-06-19,99502.587890625
2025-06-20,98567.4609375
2025-06-23,96617.6123046875
2025-06-24,96636.40002441406
2025-06-25,95781.82495117188
2025-06-26,96035.37841796875
2025-06-27,96561.26110839844
2025-06-30,98132.78503417969
2025-07-01,96931.03454589844
2025-07-02,97010.26794433594
2025-07-03,95663.24743652344
2025-07-04,96740.36206054688
2025-07-07,96830.125
2025-07-08,97476.39196777344
2025-07-09,96919.88342285156
2025-07-10,97002.29919433594
2025-07-11,96033.89465332031
2025-07-14,96116.31042480469
2025-07-15,98197.34582519531
2025-07-16,98403.54455566406
2025-07-17,98845.40002441406
2025-07-18,98786.48400878906
2025-07-22,98079.52111816406
2025-07-23,98931.52111816406
2025-07-24,100919.52111816406
2025-07-25,100919.52111816406
2025-07-28,101771.52111816406
2025-07-29,101674.63525390625
2025-07-30,100996.4580078125
2025-07-31,102069.61975097656
2025-08-01,103276.92492675781
2025-08-04,103245.75427246094
2025-08-05,105178.29211425781
2025-08-06,108326.46716308594
2025-08-07,109355.07434082031
2025-08-08,110427.98693847656
2025-08-12,111574.05627441406
2025-08-13,111720.36364746094
2025-08-14,110037.83801269531
2025-08-15,111861.42749023438
2025-08-18,111945.27014160156
2025-08-19,113391.56506347656
2025-08-20,113601.17431640625
2025-08-21,113434.74060058594
2025-08-22,114837.47924804688
2025-08-25,115931.12670898438
2025-08-26,117238.76037597656
2025-08-27,117096.05432128906
2025-08-28,117709.68469238281
2025-08-29,116639.39636230469
2025-09-01,116981.88806152344
2025-09-02,119802.26403808594
2025-09-03,118732.47399902344
2025-09-04,119491.05310058594
2025-09-05,121124.92028808594
2025-09-08,120567.76403808594
2025-09-09,120235.84216308594
2025-09-10,118848.88708496094
2025-09-11,118813.32653808594
2025-09-12,119143.75573730469
2025-09-16,120068.96081542969
2025-09-17,117739.43786621094
2025-09-18,118036.82165527344
2025-09-19,119033.27673339844
2025-09-22,119580.34704589844
2025-09-24,119521.73864746094
2025-09-25,120068.80407714844
2025-09-26,119776.07946777344
2025-09-29,119405.16882324219
2025-09-30,120270.62292480469
2025-10-01,120839.35461425781
2025-10-02,126891.99523925781
2025-10-03,128810.39562988281
2025-10-06,134996.8760986328
2025-10-07,133569.2276611328
2025-10-08,134163.77661132812
2025-10-09,134044.86682128906
2025-10-10,131785.58081054688
2025-10-14,129407.38500976562
2025-10-15,131748.82788085938
2025-10-16,135359.75073242188
2025-10-17,133356.81372070312
2025-10-20,137588.36108398438
2025-10-21,136553.63549804688
2025-10-22,136143.02905273438
2025-10-23,137144.90844726562
2025-10-24,138705.21459960938
2025-10-27,139815.29223632812
2025-10-28,138495.75805664062
2025-10-29,139165.99438476562
2025-10-30,141051.04174804688
2025-10-31,138942.78393554688
2025-11-04,138159.18237304688
2025-11-05,126834.32885742188
2025-11-06,127823.15454101562
2025-11-07,127241.35961914062
2025-11-10,126749.06665039062
2025-11-11,127181.68774414062
2025-11-12,126913.16430664062
2025-11-13,126734.17993164062
2025-11-14,125421.60180664062
2025-11-17,126137.55883789062
2025-11-18,121901.50903320312
2025-11-19,122286.63110351562
2025-11-20,123930.80834960938
2025-11-21,125589.80249023438
2025-11-25,124330.74731445312
2025-11-26,124205.25317382812
2025-11-27,123926.37426757812
2025-11-28,122559.87719726562
2025-12-01,119854.76684570312
2025-12-02,120565.51806640625
2025-12-03,118893.15844726562
2025-12-04,118893.15844726562
2025-12-05,117617.98181152344
2025-12-08,119645.77673339844
2025-12-09,119992.63708496094
2025-12-10,120979.85754394531
2025-12-11,121513.48986816406
2025-12-12,120891.57189941406
2025-12-15,120361.11511230469
2025-12-16,120178.20178222656
2025-12-17,119958.70397949219
2025-12-18,119131.29479980469
2025-12-19,117852.56140136719
2025-12-22,119375.76208496094
2025-12-23,118567.14880371094
2025-12-24,117711.90087890625
2025-12-25,118464.52478027344
2025-12-26,118019.78979492188
2025-12-29,117329.78979492188
2025-12-30,117016.57141113281
2026-01-05,116920.1923828125
2026-01-06,117932.13928222656
2026-01-07,118269.45690917969
2026-01-08,117219.45690917969
2026-01-09,117039.45690917969
2026-01-13,120519.45690917969
2026-01-14,121809.45690917969
2026-01-15,123031.62292480469
2026-01-16,123407.67175292969
2026-01-19,122679.07604980469
2026-01-20,122138.50183105469
2026-01-21,122176.15856933594
2026-01-22,123155.29870605469
2026-01-23,124849.96325683594
2026-01-26,123042.31921386719
2026-01-27,124997.31921386719
2026-01-28,122957.31921386719
2026-01-29,122685.31921386719
2026-01-30,120322.31921386719
2026-02-02,119336.14367675781
2026-02-03,123074.43542480469
2026-02-04,125436.66345214844
2026-02-05,123464.31799316406
2026-02-06,123568.51965332031
2026-02-09,128749.01281738281
2026-02-10,130029.24963378906
2026-02-12,131636.9815673828
2026-02-13,129526.74816894531
2026-02-16,128914.78552246094
2026-02-17,128745.9716796875
2026-02-18,129231.32263183594
2026-02-19,131971.79626464844
2026-02-20,133064.40856933594
2026-02-24,133619.66638183594
2026-02-25,135876.53063964844
2026-02-26,136078.98669433594
2026-02-27,138339.8123779297
2026-03-02,140094.4813232422
2026-03-03,138407.2977294922
2026-03-04,132723.4881591797
2026-03-05,134465.6561279297
2026-03-06,133572.7977294922
2026-03-09,127388.11755371094
2026-03-10,133819.63122558594
2026-03-11,140668.97106933594
2026-03-12,138221.70935058594
2026-03-13,143474.36364746094
2026-03-16,144123.35626220703
2026-03-17,145161.7666015625
2026-03-18,145616.0604248047
2026-03-19,146005.46807861328
2026-03-23,140044.66339111328
2026-03-24,144372.58526611328
2026-03-25,146053.03057861328
2026-03-26,148224.92120361328
2026-03-27,147940.82263183594
2026-03-30,147312.9137878418
2026-03-31,146443.5196838379
2026-04-01,147361.21673583984
2026-04-02,147361.21673583984
