date,equity
2025-05-09,50000.0
2025-05-12,50000.0
2025-05-13,50000.0
2025-05-14,50000.0
2025-05-15,50000.0
2025-05-16,50000.0
2025-05-19,50000.0
2025-05-20,50000.0
2025-05-21,50000.0
2025-05-22,50000.0
2025-05-23,50000.0
2025-05-26,50000.0
2025-05-27,50000.0
2025-05-28,50000.0
2025-05-29,50000.0
2025-05-30,50000.0
2025-06-02,50000.0
2025-06-03,50000.0
2025-06-04,50000.0
2025-06-05,50000.0
2025-06-06,50000.0
2025-06-09,50000.0
2025-06-10,50000.0
2025-06-11,50000.0
2025-06-12,50000.0
2025-06-13,50000.0
2025-06-16,50000.0
2025-06-17,50000.0
2025-06-18,49905.4931640625
2025-06-19,49751.2939453125
2025-06-20,49283.73046875
2025-06-23,48308.80615234375
2025-06-24,48318.20001220703
2025-06-25,47890.91247558594
2025-06-26,48017.689208984375
2025-06-27,48280.63055419922
2025-06-30,49037.29022216797
2025-07-01,48458.66961669922
2025-07-02,48496.81903076172
2025-07-03,47848.25360107422
2025-07-04,48372.255310058594
2025-07-07,48415.923767089844
2025-07-08,48730.32391357422
2025-07-09,48459.59002685547
2025-07-10,48498.83563232422
2025-07-11,48037.69061279297
2025-07-14,48076.93621826172
2025-07-15,49067.90545654297
2025-07-16,49171.004821777344
2025-07-17,49391.932556152344
2025-07-18,49362.474548339844
2025-07-22,49008.993103027344
2025-07-23,49434.993103027344
2025-07-24,50428.993103027344
2025-07-25,50428.993103027344
2025-07-28,50854.993103027344
2025-07-29,50807.79229736328
2025-07-30,50477.39825439453
2025-07-31,51000.220642089844
2025-08-01,51588.394958496094
2025-08-04,51573.433044433594
2025-08-05,52501.051208496094
2025-08-06,54012.175231933594
2025-08-07,54505.906677246094
2025-08-08,55020.904724121094
2025-08-12,55571.018005371094
2025-08-13,55641.245544433594
2025-08-14,54833.633239746094
2025-08-15,55724.22344970703
2025-08-18,55765.169860839844
2025-08-19,56471.499938964844
2025-08-20,56573.867248535156
2025-08-21,56492.348693847656
2025-08-22,57179.404357910156
2025-08-25,57715.068420410156
2025-08-26,58355.542053222656
2025-08-27,58286.649475097656
2025-08-28,58582.884826660156
2025-08-29,58066.193908691406
2025-09-01,58231.534729003906
2025-09-02,59641.722717285156
2025-09-03,59106.827697753906
2025-09-04,59486.117248535156
2025-09-05,60303.050842285156
2025-09-08,60024.472717285156
2025-09-09,59858.511779785156
2025-09-10,59165.034240722656
2025-09-11,59147.253967285156
2025-09-12,59312.46856689453
2025-09-16,59775.07110595703
2025-09-17,58610.309631347656
2025-09-18,58759.001525878906
2025-09-19,59257.229064941406
2025-09-22,59530.764221191406
2025-09-24,59501.460021972656
2025-09-25,59774.992736816406
2025-09-26,59634.484924316406
2025-09-29,59456.447814941406
2025-09-30,59871.865783691406
2025-10-01,60144.856994628906
2025-10-02,62162.403869628906
2025-10-03,62801.870666503906
2025-10-06,64864.030822753906
2025-10-07,64388.148010253906
2025-10-08,64670.80242919922
2025-10-09,64614.271545410156
2025-10-10,63540.18475341797
2025-10-14,62409.56707763672
2025-10-15,63511.42254638672
2025-10-16,65210.68035888672
2025-10-17,64268.12176513672
2025-10-20,66259.43817138672
2025-10-21,65772.50848388672
2025-10-22,65579.28192138672
2025-10-23,66050.75457763672
2025-10-24,66785.01629638672
2025-10-27,67313.62469482422
2025-10-28,66685.27508544922
2025-10-29,67004.43524169922
2025-10-30,67902.07684326172
2025-10-31,66903.42840576172
2025-11-04,66532.24871826172
2025-11-05,61167.84442138672
2025-11-06,61636.23553466797
2025-11-07,61442.30389404297
2025-11-10,61278.20623779297
2025-11-11,61422.41326904297
2025-11-12,61332.90545654297
2025-11-13,61243.41326904297
2025-11-14,60587.12420654297
2025-11-17,60945.10272216797
2025-11-18,58827.07781982422
2025-11-19,59006.80145263672
2025-11-20,59774.08416748047
2025-11-21,60548.28143310547
2025-11-25,59960.72235107422
2025-11-26,59897.97528076172
2025-11-27,59758.53582763672
2025-11-28,59075.28729248047
2025-12-01,57722.73211669922
2025-12-02,58064.697326660156
2025-12-03,57260.07147216797
2025-12-04,57260.07147216797
2025-12-05,56646.54309082031
2025-12-08,57622.88879394531
2025-12-09,57789.89562988281
2025-12-10,58265.22399902344
2025-12-11,58522.15808105469
2025-12-12,58219.60339355469
2025-12-15,57961.54333496094
2025-12-16,57872.55847167969
2025-12-17,57765.77575683594
2025-12-18,57373.84509277344
2025-12-19,56768.12927246094
2025-12-22,57489.64538574219
2025-12-23,57106.61804199219
2025-12-24,56697.58642578125
2025-12-25,57057.53698730469
2025-12-26,56844.837646484375
2025-12-29,56514.837646484375
2025-12-30,56367.81677246094
2026-01-05,56322.57763671875
2026-01-06,56797.57312011719
2026-01-07,56955.90588378906
2026-01-08,56430.90588378906
2026-01-09,56340.90588378906
2026-01-13,58080.90588378906
2026-01-14,58725.90588378906
2026-01-15,59286.06530761719
2026-01-16,59458.42102050781
2026-01-19,59124.48132324219
2026-01-20,58876.71813964844
2026-01-21,58895.051025390625
2026-01-22,59371.73767089844
2026-01-23,60196.771728515625
2026-01-26,59316.73449707031
2026-01-27,60236.73449707031
2026-01-28,59276.73449707031
2026-01-29,59148.73449707031
2026-01-30,58036.73449707031
2026-02-02,57565.08532714844
2026-02-03,59352.96398925781
2026-02-04,60482.72521972656
2026-02-05,59539.42956542969
2026-02-06,59588.05700683594
2026-02-09,62005.62048339844
2026-02-10,62603.06433105469
2026-02-12,63353.33923339844
2026-02-13,62322.76013183594
2026-02-16,62023.89465332031
2026-02-17,61941.45068359375
2026-02-18,62178.48254394531
2026-02-19,63548.71936035156
2026-02-20,64095.02551269531
2026-02-24,64372.65441894531
2026-02-25,65501.08654785156
2026-02-26,65596.35998535156
2026-02-27,66660.27795410156
2026-03-02,67486.00451660156
2026-03-03,66692.03576660156
2026-03-04,64108.48596191406
2026-03-05,64900.38049316406
2026-03-06,64494.53576660156
2026-03-09,61683.31750488281
2026-03-10,63827.15539550781
2026-03-11,66110.26867675781
2026-03-12,65294.51477050781
2026-03-13,67045.39953613281
2026-03-16,67348.26275634766
2026-03-17,67832.85424804688
2026-03-18,68044.85803222656
2026-03-19,68226.5816040039
2026-03-23,65618.72955322266
2026-03-24,67512.19537353516
2026-03-25,68247.3901977539
2026-03-26,69197.5923461914
2026-03-27,69065.24829101562
2026-03-30,68772.74417114258
2026-03-31,68367.74691772461
2026-04-01,68795.2455444336
2026-04-02,68795.2455444336
