date,equity
2025-05-09,20000.0
2025-05-12,20000.0
2025-05-13,20000.0
2025-05-14,20000.0
2025-05-15,20000.0
2025-05-16,20000.0
2025-05-19,20000.0
2025-05-20,20000.0
2025-05-21,20000.0
2025-05-22,20000.0
2025-05-23,20000.0
2025-05-26,20000.0
2025-05-27,20000.0
2025-05-28,20000.0
2025-05-29,20000.0
2025-05-30,20000.0
2025-06-02,20000.0
2025-06-03,20000.0
2025-06-04,20000.0
2025-06-05,20000.0
2025-06-06,20000.0
2025-06-09,20000.0
2025-06-10,20000.0
2025-06-11,20000.0
2025-06-12,20000.0
2025-06-13,20000.0
2025-06-16,20000.0
2025-06-17,20000.0
2025-06-18,19962.197265625
2025-06-19,19900.517578125
2025-06-20,19713.4921875
2025-06-23,19323.5224609375
2025-06-24,19327.164978027344
2025-06-25,19161.482055664062
2025-06-26,19210.640380859375
2025-06-27,19312.597229003906
2025-06-30,19603.620178222656
2025-07-01,19381.073791503906
2025-07-02,19395.746643066406
2025-07-03,19146.298400878906
2025-07-04,19350.07684326172
2025-07-07,19367.059020996094
2025-07-08,19489.325744628906
2025-07-09,19384.04034423828
2025-07-10,19399.73858642578
2025-07-11,19215.28057861328
2025-07-14,19230.97882080078
2025-07-15,19627.36651611328
2025-07-16,19668.60626220703
2025-07-17,19756.97735595703
2025-07-18,19745.19415283203
2025-07-22,19603.80157470703
2025-07-23,19771.80157470703
2025-07-24,20163.80157470703
2025-07-25,20163.80157470703
2025-07-28,20331.80157470703
2025-07-29,20314.41180419922
2025-07-30,20192.68768310547
2025-07-31,20385.30645751953
2025-08-01,20602.00225830078
2025-08-04,20597.01495361328
2025-08-05,20906.22100830078
2025-08-06,21409.92901611328
2025-08-07,21574.50616455078
2025-08-08,21789.08868408203
2025-08-12,22018.30255126953
2025-08-13,22047.564025878906
2025-08-14,21711.05889892578
2025-08-15,22050.33135986328
2025-08-18,22065.92999267578
2025-08-19,22335.00811767578
2025-08-20,22374.00518798828
2025-08-21,22343.43572998047
2025-08-22,22601.081604003906
2025-08-25,22801.955627441406
2025-08-26,23042.133239746094
2025-08-27,23017.528747558594
2025-08-28,23123.327087402344
2025-08-29,22938.79461669922
2025-09-01,22997.84490966797
2025-09-02,23561.92010498047
2025-09-03,23347.96209716797
2025-09-04,23499.67791748047
2025-09-05,23826.45135498047
2025-09-08,23939.27362060547
2025-09-09,23974.28729248047
2025-09-10,24020.97381591797
2025-09-11,24040.42498779297
2025-09-12,24098.73602294922
2025-09-16,24262.00750732422
2025-09-17,23850.91522216797
2025-09-18,23903.39471435547
2025-09-19,24102.68572998047
2025-09-22,24212.09979248047
2025-09-24,24200.37811279297
2025-09-25,24309.79119873047
2025-09-26,24251.24627685547
2025-09-29,24177.06414794922
2025-09-30,24350.15496826172
2025-10-01,24463.901306152344
2025-10-02,24463.901306152344
2025-10-03,24969.543884277344
2025-10-06,25360.625915527344
2025-10-07,25767.510681152344
2025-10-08,25751.709899902344
2025-10-09,25835.125701904297
2025-10-10,25600.520477294922
2025-10-14,25433.688873291016
2025-10-15,25496.25112915039
2025-10-16,25445.69058227539
2025-10-17,25207.76333618164
2025-10-20,25142.33316040039
2025-10-21,25285.08950805664
2025-10-22,24985.08950805664
2025-10-23,24350.08950805664
2025-10-24,24965.08950805664
2025-10-27,26080.08950805664
2025-10-28,26134.67691040039
2025-10-29,26616.040435791016
2025-10-30,27102.366119384766
2025-10-31,25856.77651977539
2025-11-04,26167.63247680664
2025-11-05,25680.345489501953
2025-11-06,25688.745880126953
2025-11-07,25747.556915283203
2025-11-10,26215.521759033203
2025-11-11,26561.277618408203
2025-11-12,26421.187286376953
2025-11-13,27067.990509033203
2025-11-14,27471.029571533203
2025-11-17,27337.986602783203
2025-11-18,26872.340118408203
2025-11-19,26594.515899658203
2025-11-20,26772.825469970703
2025-11-21,26645.036895751953
2025-11-25,26859.009552001953
2025-11-26,27019.487579345703
2025-11-27,27013.05581665039
2025-11-28,27090.244903564453
2025-12-01,26710.72964477539
2025-12-02,26942.29849243164
2025-12-03,27021.37271118164
2025-12-04,27242.77700805664
2025-12-05,27076.72232055664
2025-12-08,27282.31216430664
2025-12-09,26932.71987915039
2025-12-10,27042.33706665039
2025-12-11,27237.87319946289
2025-12-12,28713.27261352539
2025-12-15,28598.57925415039
2025-12-16,28559.03042602539
2025-12-17,28511.57144165039
2025-12-18,28385.01284790039
2025-12-19,28644.04409790039
2025-12-22,28554.723052978516
2025-12-23,28742.299224853516
2025-12-24,28894.143463134766
2025-12-25,28870.553619384766
2025-12-26,28882.348541259766
2025-12-29,29163.971588134766
2025-12-30,29124.305572509766
2026-01-05,29320.07095336914
2026-01-06,29213.290435791016
2026-01-07,29048.66909790039
2026-01-08,29035.32290649414
2026-01-09,29297.50161743164
2026-01-13,30263.424713134766
2026-01-14,30936.12026977539
2026-01-15,31519.12319946289
2026-01-16,31423.99624633789
2026-01-19,31376.43179321289
2026-01-20,31301.12124633789
2026-01-21,31043.48062133789
2026-01-22,31109.179107666016
